Scenario - RavensIqExp
Logfile written - 08/10/2017 15:01:21
Subject: pp08

Trial	Type	Item	Picture	CorrAns	Response	AnsCorr	RespTime	AbsTime
1	Pract	1	APM_I_01.gif	0	8	No	7384	00:00:07
2	Pract	2	APM_I_02.gif	0	4	No	13117	00:00:21
3	Pract	3	APM_I_03.gif	0	5	No	8450	00:00:30
4	Pract	4	APM_I_04.gif	0	1	No	5233	00:00:35
5	Pract	5	APM_I_05.gif	0	2	No	17683	00:00:54
6	Pract	6	APM_I_06.gif	0	5	No	32950	00:01:27
1	Test	13	APM_II_01.gif	5	5	YES	51366	00:00:51
2	Test	14	APM_II_02.gif	1	1	YES	18833	00:01:10
3	Test	15	APM_II_03.gif	7	7	YES	9917	00:01:21
4	Test	16	APM_II_04.gif	4	4	YES	25850	00:01:47
5	Test	17	APM_II_05.gif	3	3	YES	14517	00:02:02
6	Test	18	APM_II_06.gif	1	1	YES	25383	00:02:28
7	Test	19	APM_II_07.gif	6	6	YES	16266	00:02:45
8	Test	20	APM_II_08.gif	1	1	YES	69332	00:03:55
9	Test	21	APM_II_09.gif	8	8	YES	9867	00:04:05
10	Test	22	APM_II_10.gif	4	4	YES	24032	00:04:30
11	Test	23	APM_II_11.gif	5	5	YES	10200	00:04:41
12	Test	24	APM_II_12.gif	6	6	YES	20716	00:05:02
13	Test	25	APM_II_13.gif	2	2	YES	59766	00:06:02
14	Test	26	APM_II_14.gif	1	1	YES	15716	00:06:19
15	Test	27	APM_II_15.gif	2	2	YES	48665	00:07:08
16	Test	28	APM_II_16.gif	4	4	YES	23899	00:07:32
17	Test	29	APM_II_17.gif	6	3	No	39883	00:08:13
18	Test	30	APM_II_18.gif	7	7	YES	38749	00:08:52
19	Test	31	APM_II_19.gif	3	3	YES	73232	00:10:06
20	Test	32	APM_II_20.gif	8	8	YES	30749	00:10:37
21	Test	33	APM_II_21.gif	8	8	YES	85465	00:12:03
22	Test	34	APM_II_22.gif	7	7	YES	82699	00:13:27
23	Test	35	APM_II_23.gif	6	6	YES	45033	00:14:12
24	Test	36	APM_II_24.gif	3	9	REP	14217	00:14:27
25	Test	37	APM_II_25.gif	7	5	No	80999	00:15:49
26	Test	38	APM_II_26.gif	2	9	REP	54749	00:16:44
27	Test	39	APM_II_27.gif	7	7	YES	40016	00:17:24
28	Test	40	APM_II_28.gif	5	9	REP	41600	00:18:07
29	Test	41	APM_II_29.gif	6	9	REP	40349	00:18:47
30	Test	42	APM_II_30.gif	5	5	YES	57249	00:19:45
